Timestamp, DateString, Circumference , Circumference error
s, , mm, mm
1333646833, 05-04-12_19:25:37, 0.09, 0.13
1333715266, 06-04-12_14:25:37, 0.38, 0.13
1333753778, 07-04-12_01:05:37, 0.24, 0.13
1333817543, 07-04-12_18:50:37, 0.13, 0.13
1333837481, 08-04-12_00:20:37, -0.08, 0.13
1333860530, 08-04-12_06:45:37, -0.12, 0.13
1333887648, 08-04-12_14:20:37, 0.04, 0.13
1333900581, 08-04-12_17:55:37, 0.25, 0.13
1333958579, 09-04-12_10:00:37, -0.47, 0.13
1334022012, 10-04-12_03:35:37, 0.04, 0.13
1334079191, 10-04-12_19:30:37, 0.18, 0.13
1334122023, 11-04-12_07:25:37, 0.04, 0.13
1334156477, 11-04-12_17:00:37, -0.00, 0.13
1334237142, 12-04-12_15:25:37, -0.09, 0.13
1334271113, 13-04-12_00:50:37, 0.12, 0.13
1334330789, 13-04-12_17:25:37, -0.11, 0.13
1334363998, 14-04-12_02:35:37, 0.20, 0.13
1334411281, 14-04-12_15:45:37, -0.01, 0.13
1334480044, 15-04-12_10:50:37, 0.09, 0.13
1334494436, 15-04-12_14:50:37, 0.11, 0.13
1334573964, 16-04-12_12:55:37, -0.12, 0.13
1334592657, 16-04-12_18:10:37, -0.33, 0.13
1334767828, 18-04-12_18:45:37, 0.17, 0.13
1334806320, 19-04-12_05:30:37, 0.22, 0.13
1334850815, 19-04-12_17:50:37, 0.29, 0.13
1334888952, 20-04-12_04:25:37, 0.37, 0.13
1335937089, 02-05-12_07:35:37, -0.32, 0.13
1335988992, 02-05-12_22:00:37, 0.04, 0.13
1336013339, 03-05-12_04:45:37, -0.10, 0.13
1336068707, 03-05-12_20:10:37, -0.39, 0.13
1336309613, 06-05-12_15:05:37, 0.10, 0.13
1336339895, 06-05-12_23:30:37, -0.22, 0.13
1336364220, 07-05-12_06:15:37, -0.20, 0.13
1336421343, 07-05-12_22:05:37, -0.28, 0.13
1336632352, 10-05-12_08:45:37, -0.15, 0.13
1336662151, 10-05-12_17:00:37, 0.12, 0.13
1336673077, 10-05-12_20:00:37, 0.14, 0.13
1336736161, 11-05-12_13:35:37, -0.25, 0.13
1336769542, 11-05-12_22:50:37, -0.01, 0.13
1336803880, 12-05-12_08:20:37, 0.02, 0.13
1336874546, 13-05-12_04:00:37, 0.06, 0.13
1336925915, 13-05-12_18:15:37, 0.06, 0.13
1336957172, 14-05-12_02:55:37, 0.15, 0.13
1337025050, 14-05-12_21:50:37, 0.25, 0.13
1337082722, 15-05-12_13:50:37, 0.29, 0.13
1337113797, 15-05-12_22:25:37, 0.47, 0.13
1337192785, 16-05-12_20:25:37, 0.24, 0.13
1337216103, 17-05-12_02:50:37, 0.41, 0.13
1337228799, 17-05-12_06:25:37, 0.11, 0.13
1337340536, 18-05-12_13:25:37, 0.62, 0.13
1337414277, 19-05-12_09:55:37, 0.22, 0.13
1337424616, 19-05-12_12:45:37, 0.54, 0.13
1337528766, 20-05-12_17:45:37, 0.66, 0.13
1337598842, 21-05-12_13:10:37, 0.54, 0.13
1337667794, 22-05-12_08:20:37, 0.17, 0.13
1337754636, 23-05-12_08:25:37, 0.18, 0.13
1337789598, 23-05-12_18:10:37, 0.64, 0.13
1337822459, 24-05-12_03:20:37, 0.41, 0.13
1337871333, 24-05-12_16:50:37, 0.47, 0.13
1337908567, 25-05-12_03:15:37, 0.37, 0.13
1338004374, 26-05-12_05:50:37, 0.37, 0.13
1338158712, 28-05-12_00:40:37, 0.47, 0.13
1338173945, 28-05-12_04:55:37, 0.42, 0.13
1338231573, 28-05-12_20:55:37, 0.44, 0.13
1338263718, 29-05-12_05:50:37, 0.45, 0.13
1338386552, 30-05-12_16:00:37, 0.45, 0.13
1338401338, 30-05-12_20:05:37, 0.44, 0.13
1338434109, 31-05-12_05:10:37, 0.27, 0.13
1338548578, 01-06-12_13:00:37, 0.83, 0.13
1338612387, 02-06-12_06:45:37, 0.24, 0.13
1338829369, 04-06-12_19:00:37, 0.80, 0.13
1338869613, 05-06-12_06:10:37, 0.63, 0.13
1338886504, 05-06-12_10:50:37, 0.37, 0.13
1339004339, 06-06-12_19:35:37, 0.84, 0.13
1339079957, 07-06-12_16:35:37, 0.93, 0.13
1339100713, 07-06-12_22:20:37, 0.79, 0.13
1339160980, 08-06-12_15:05:37, 0.98, 0.13
1339172520, 08-06-12_18:20:37, 1.17, 0.13
1339238243, 09-06-12_12:35:37, 0.76, 0.13
1339309517, 10-06-12_08:20:37, 0.77, 0.13
1339370976, 11-06-12_01:25:37, 0.72, 0.13
1339379042, 11-06-12_03:40:37, 0.61, 0.13
1339416353, 11-06-12_14:05:37, 0.77, 0.13
1339436271, 11-06-12_19:35:37, 0.91, 0.13
1339485538, 12-06-12_09:15:37, 0.77, 0.13
1339530141, 12-06-12_21:40:37, 0.97, 0.13
1339579096, 13-06-12_11:15:37, 0.99, 0.13
1339637681, 14-06-12_03:30:37, 0.71, 0.13
1339696823, 14-06-12_19:55:37, 0.59, 0.13
1339719457, 15-06-12_02:15:37, 0.65, 0.13
1339792039, 15-06-12_22:25:37, 0.29, 0.13
1339867934, 16-06-12_19:30:37, 0.49, 0.13
1339956560, 17-06-12_20:05:37, 0.50, 0.13
1340006470, 18-06-12_10:00:37, 0.62, 0.13
1341183512, 02-07-12_00:55:37, 0.79, 0.13
1341203248, 02-07-12_06:25:37, 0.47, 0.13
1341248292, 02-07-12_18:55:37, 0.85, 0.13
1341340140, 03-07-12_20:25:37, 0.68, 0.13
1341384824, 04-07-12_08:50:37, 0.57, 0.13
1341438286, 04-07-12_23:40:37, 0.61, 0.13
1341513856, 05-07-12_20:40:37, 0.82, 0.13
1341536884, 06-07-12_03:05:37, 1.07, 0.13
1341673795, 07-07-12_17:05:37, 1.20, 0.13
1341767538, 08-07-12_19:10:37, 1.18, 0.13
1342212186, 13-07-12_22:40:37, 1.22, 0.13
1342239841, 14-07-12_06:20:37, 0.84, 0.13
1342291067, 14-07-12_20:35:37, 1.05, 0.13
1342365137, 15-07-12_17:10:37, 1.25, 0.13
1342389130, 15-07-12_23:50:37, 1.21, 0.13
1342678777, 19-07-12_08:15:37, 0.67, 0.13
1342723243, 19-07-12_20:40:37, 0.74, 0.13
1342757867, 20-07-12_06:15:37, 1.21, 0.13
1342832554, 21-07-12_03:00:37, 1.39, 0.13
1342908608, 22-07-12_00:05:37, 1.09, 0.13
1342948601, 22-07-12_11:15:37, 0.87, 0.13
1342975047, 22-07-12_18:35:37, 1.44, 0.13
1343072621, 23-07-12_21:40:37, 1.04, 0.13
1343142919, 24-07-12_17:10:37, 1.57, 0.13
1343266806, 26-07-12_03:35:37, 0.84, 0.13
1343328288, 26-07-12_20:40:37, 1.35, 0.13
1343342288, 27-07-12_00:35:37, 1.14, 0.13
1343353472, 27-07-12_03:40:37, 1.08, 0.13
1343421240, 27-07-12_22:30:37, 1.18, 0.13
1343443956, 28-07-12_04:50:37, 0.89, 0.13
1343484676, 28-07-12_16:10:37, 1.53, 0.13
1343575873, 29-07-12_17:30:37, 1.32, 0.13
1343613391, 30-07-12_03:55:37, 1.19, 0.13
1343681395, 30-07-12_22:45:37, 1.31, 0.13
1343707633, 31-07-12_06:05:37, 1.07, 0.13
1343724388, 31-07-12_10:45:37, 1.42, 0.13
1343753686, 31-07-12_18:50:37, 1.41, 0.13
1343827639, 01-08-12_15:25:37, 1.75, 0.13
1343855063, 01-08-12_23:00:37, 1.07, 0.13
1343944332, 02-08-12_23:50:37, 1.20, 0.13
1343956783, 03-08-12_03:15:37, 1.53, 0.13
1343976225, 03-08-12_08:40:37, 1.20, 0.13
1344056868, 04-08-12_07:05:37, 1.27, 0.13
1344085145, 04-08-12_14:55:37, 1.53, 0.13
1344270685, 06-08-12_18:30:37, 1.63, 0.13
1344306688, 07-08-12_04:30:37, 1.44, 0.13
1344363929, 07-08-12_20:20:37, 1.15, 0.13
1344379725, 08-08-12_00:45:37, 1.29, 0.13
1344418868, 08-08-12_11:40:37, 1.43, 0.13
1344446594, 08-08-12_19:20:37, 1.56, 0.13
1344481386, 09-08-12_05:00:37, 1.34, 0.13
1344545593, 09-08-12_22:50:37, 1.28, 0.13
1344806807, 12-08-12_23:25:37, 1.54, 0.13
1345018118, 15-08-12_10:05:37, 1.08, 0.13
1345037060, 15-08-12_15:20:37, 1.67, 0.13
1345050761, 15-08-12_19:10:37, 1.52, 0.13
1345102520, 16-08-12_09:30:37, 1.24, 0.13
1345120455, 16-08-12_14:30:37, 1.87, 0.13
1345153787, 16-08-12_23:45:37, 1.61, 0.13
1345174226, 17-08-12_05:25:37, 1.51, 0.13
1345209100, 17-08-12_15:10:37, 1.87, 0.13
1345275326, 18-08-12_09:30:37, 1.30, 0.13
1345373651, 19-08-12_12:50:37, 1.56, 0.13
1345478728, 20-08-12_18:00:37, 1.77, 0.13
1345555804, 21-08-12_15:25:37, 1.67, 0.13
1345605448, 22-08-12_05:15:37, 1.57, 0.13
1345680255, 23-08-12_02:00:37, 1.32, 0.13
1345730281, 23-08-12_15:55:37, 1.73, 0.13
1345752443, 23-08-12_22:05:37, 1.54, 0.13
1345787866, 24-08-12_07:55:37, 1.63, 0.13
1345841989, 24-08-12_22:55:37, 1.32, 0.13
1345878168, 25-08-12_09:00:37, 1.70, 0.13
1345936602, 26-08-12_01:15:37, 1.50, 0.13
1345962910, 26-08-12_08:30:37, 1.54, 0.13
1346010000, 26-08-12_21:35:37, 1.54, 0.13
1346019941, 27-08-12_00:25:37, 1.66, 0.13
1346099699, 27-08-12_22:30:37, 1.48, 0.13
1346110816, 28-08-12_01:35:37, 1.74, 0.13
1346350223, 30-08-12_20:05:37, 1.49, 0.13
1346362538, 30-08-12_23:35:37, 1.64, 0.13
1346430353, 31-08-12_18:25:37, 1.66, 0.13
1346490120, 01-09-12_11:00:37, 1.35, 0.13
1346540091, 02-09-12_00:50:37, 1.45, 0.13
1346567517, 02-09-12_08:30:37, 1.42, 0.13
1346633902, 03-09-12_02:55:37, 1.66, 0.13
1346695104, 03-09-12_19:55:37, 1.46, 0.13
1346758729, 04-09-12_13:35:37, 1.68, 0.13
1346793528, 04-09-12_23:15:37, 1.36, 0.13
1346851421, 05-09-12_15:20:37, 1.87, 0.13
1346920859, 06-09-12_10:40:37, 1.69, 0.13
1346965143, 06-09-12_22:55:37, 1.53, 0.13
1346988825, 07-09-12_05:30:37, 1.61, 0.13
1347052639, 07-09-12_23:15:37, 1.49, 0.13
1347133513, 08-09-12_21:40:37, 1.46, 0.13
1347209398, 09-09-12_18:45:37, 1.65, 0.13
1347728559, 15-09-12_19:00:37, 1.58, 0.13
